Altitude (km),O (kg/m3),N2 (kg/m3),O2 (kg/m3),Total (kg/m3),Neutral Temp. (K),He (kg/m3),Ar (kg/m3),H (kg/m3),N (kg/m3),H2 (kg/m3)
207,0.0,0.0,0.0,0.0,0.07724900892270818,0.00016046669589198103,0.0,0.0,0.0,0.0028673392722198356
208,0.0,0.0,0.0,0.0,0.07444026928011259,0.0001546321981249081,0.0,0.0,0.0,0.002763084090244451
209,0.0,0.0,0.0,0.0,0.07173365416299508,0.00014900984010437094,0.0,0.0,0.0,0.002662619580364978
210,0.0,0.0,0.0,0.0,0.06912545036898338,0.0001435919085234396,0.0,0.0,0.0,0.0025658079154282113
211,0.0,0.0,0.0,0.0,0.06661207970609365,0.00013837097052759697,0.0,0.0,0.0,0.0024725162796149984
212,0.0,0.0,0.0,0.0,0.06419009408381275,0.0001333398635176137,0.0,0.0,0.0,0.0023826166862303596
213,0.0,0.0,0.0,0.0,0.061856170782666677,0.0001284916853231861,0.0,0.0,0.0,0.0022959858021186818
214,0.0,0.0,0.0,0.0,0.0596071078957852,0.0001238197847338562,0.0,0.0,0.0,0.002212504778463093
215,0.0,0.0,0.0,0.0,0.057439819936209155,0.0001193177523742228,0.0,0.0,0.0,0.0021320590877368937
216,0.0,0.0,0.0,0.0,0.055351333603914456,0.00011497941191092689,0.0,0.0,0.0,0.0020545383665833746
217,0.0,0.0,0.0,0.0,0.05333878370674487,0.00011079881157934627,0.0,0.0,0.0,0.0019798362644084435
218,0.0,0.0,0.0,0.0,0.051399409229657786,0.00010677021601837563,0.0,0.0,0.0,0.0019078502974783492
219,0.0,0.0,0.0,0.0,0.049530549546891095,0.00010288809840209186,0.0,0.0,0.0,0.0018384817083223787
220,0.0,0.0,0.0,0.0,0.04772964077185295,9.914713285750616e-5,0.0,0.0,0.0,0.001771635330247563
221,0.0,0.0,0.0,0.0,0.0459942122397292,9.554218715800596e-5,0.0,0.0,0.0,0.001707219456779619
222,0.0,0.0,0.0,0.0,0.04432188311798034,9.206831568245756e-5,0.0,0.0,0.0,0.0016451457158509137
223,0.0,0.0,0.0,0.0,0.04271035914008021,8.872075263031441e-5,0.0,0.0,0.0,0.0015853289485629305
224,0.0,0.0,0.0,0.0,0.04115742945801442,8.549490548342074e-5,0.0,0.0,0.0,0.0015276870923568743
225,0.0,0.0,0.0,0.0,0.03966096360921982,8.238634870553995e-5,0.0,0.0,0.0,0.001472141068432117
226,0.0,0.0,0.0,0.0,0.038218908593805764,7.939081767096727e-5,0.0,0.0,0.0,0.0014186146732580963
227,0.0,0.0,0.0,0.0,0.03682928605804526,7.650420281389336e-5,0.0,0.0,0.0,0.001367034474030757
228,0.0,0.0,0.0,0.0,0.03549018958027386,7.372254399049583e-5,0.0,0.0,0.0,0.0013173297079301725
229,0.0,0.0,0.0,0.0,0.03419978205547201,7.104202504602258e-5,0.0,0.0,0.0,0.0012694321850411157
230,0.0,0.0,0.0,0.0,0.03295629317494217,6.845896857941223e-5,0.0,0.0,0.0,0.0012232761948033721
231,0.0,0.0,0.0,0.0,0.03175801699762474,6.596983089827265e-5,0.0,0.0,0.0,0.0011787984158635092
232,0.0,0.0,0.0,0.0,0.030603309609718868,6.35711971572921e-5,0.0,0.0,0.0,0.0011359378292043632
233,0.0,0.0,0.0,0.0,0.029490586869399336,6.125977667341767e-5,0.0,0.0,0.0,0.001094635634433132
234,0.0,0.0,0.0,0.0,0.028418322233533674,5.903239841136981e-5,0.0,0.0,0.0,0.0010548351691131643
235,0.0,0.0,0.0,0.0,0.027385044663419483,5.688600663330289e-5,0.0,0.0,0.0,0.001016481831028831
236,0.0,0.0,0.0,0.0,0.026389336606668135,5.4817656706641954e-5,0.0,0.0,0.0,0.0009795230032768082
237,0.0,0.0,0.0,0.0,0.025429832052465854,5.282451106434378e-5,0.0,0.0,0.0,0.0009439079820809929
238,0.0,0.0,0.0,0.0,0.0245052146575453,5.090383531204249e-5,0.0,0.0,0.0,0.0009095879072320591
239,0.0,0.0,0.0,0.0,0.023614215940295367,4.905299447673617e-5,0.0,0.0,0.0,0.0008765156950561793
240,0.0,0.0,0.0,0.0,0.022755613540532717,4.726944939187053e-5,0.0,0.0,0.0,0.0008446459738209864
241,0.0,0.0,0.0,0.0,0.021928229542547327,4.555075321385931e-5,0.0,0.0,0.0,0.0008139350214901484
242,0.0,0.0,0.0,0.0,0.021130928859120875,4.389454806526158e-5,0.0,0.0,0.0,0.0007843407057411427
243,0.0,0.0,0.0,0.0,0.020362617674302128,4.229856180001287e-5,0.0,0.0,0.0,0.0007558224261639798
244,0.0,0.0,0.0,0.0,0.019622241942801738,4.076060488626984e-5,0.0,0.0,0.0,0.0007283410585615342
245,0.0,0.0,0.0,0.0,0.01890878594394878,3.927856740259421e-5,0.0,0.0,0.0,0.0007018589012751052
246,0.0,0.0,0.0,0.0,0.01822127088822473,3.7850416143353926e-5,0.0,0.0,0.0,0.0006763396234615554
247,0.0,0.0,0.0,0.0,0.017558753574462956,3.6474191829370114e-5,0.0,0.0,0.0,0.0006517482152510572
248,0.0,0.0,0.0,0.0,0.016920325095872293,3.514800641998459e-5,0.0,0.0,0.0,0.0006280509397170996
249,0.0,0.0,0.0,0.0,0.01630510959310859,3.387004052285843e-5,0.0,0.0,0.0,0.0006052152865928266
250,0.0,0.0,0.0,0.0,0.01571226305268431,3.263854089794983e-5,0.0,0.0,0.0,0.0005832099276702411
251,0.0,0.0,0.0,0.0,0.015140972149067403,3.14518180522461e-5,0.0,0.0,0.0,0.0005620046738210725
252,0.0,0.0,0.0,0.0,0.014590453128880698,3.0308243921949616e-5,0.0,0.0,0.0,0.0005415704335803372
253,0.0,0.0,0.0,0.0,0.014059950735671697,2.9206249638939306e-5,0.0,0.0,0.0,0.0005218791732357967
254,0.0,0.0,0.0,0.0,0.01354873717377688,2.8144323378441775e-5,0.0,0.0,0.0,0.0005029038783685314
255,0.0,0.0,0.0,0.0,0.013056111109859693,2.712100828496068e-5,0.0,0.0,0.0,0.00048461851679189116
256,0.0,0.0,0.0,0.0,0.012581396710752164,2.6134900473618394e-5,0.0,0.0,0.0,0.0004669980028379687
257,0.0,0.0,0.0,0.0,0.012123942716279942,2.5184647104167497e-5,0.0,0.0,0.0,0.00045001816294259296
258,0.0,0.0,0.0,0.0,0.011683121545799357,2.426894452503109e-5,0.0,0.0,0.0,0.00043365570248164926
259,0.0,0.0,0.0,0.0,0.01125832843722001,2.3386536484824202e-5,0.0,0.0,0.0,0.00041788817381320243
260,0.0,0.0,0.0,0.0,0.010848980617332502,2.253621240890425e-5,0.0,0.0,0.0,0.0004026939454816078
261,0.0,0.0,0.0,0.0,0.010454516502302343,2.1716805738584665e-5,0.0,0.0,0.0,0.00038805217254133474
262,0.0,0.0,0.0,0.0,0.010074394927233749,2.092719233073443e-5,0.0,0.0,0.0,0.0003739427679598108
263,0.0,0.0,0.0,0.0,0.00970809440374616,2.016628891556741e-5,0.0,0.0,0.0,0.00036034637506004514
