Altitude (km),O (kg/m3),N2 (kg/m3),O2 (kg/m3),Total (kg/m3),Neutral Temp. (K),He (kg/m3),Ar (kg/m3),H (kg/m3),N (kg/m3),H2 (kg/m3)
22,0.0,0.0,0.0,0.0,128.59796418037698,274.07695555137724,0.0,0.0,0.0,1242.405506801626
23,0.0,0.0,0.0,0.0,127.63634068234536,262.13667826349126,0.0,0.0,0.0,1188.2795908691314
24,0.0,0.0,0.0,0.0,126.70968138745161,250.77155062600093,0.0,0.0,0.0,1136.7608590811374
25,0.0,0.0,0.0,0.0,125.81671501280428,239.95059300071443,0.0,0.0,0.0,1087.7088790798389
26,0.0,0.0,0.0,0.0,124.95621649879303,229.64467094217008,0.0,0.0,0.0,1040.9915828648213
27,0.0,0.0,0.0,0.0,124.12700532843061,219.82637678795555,0.0,0.0,0.0,996.484730035643
28,0.0,0.0,0.0,0.0,123.327943907803,210.46991921839992,0.0,0.0,0.0,954.0714071600078
29,0.0,0.0,0.0,0.0,122.55793600540538,201.55102023427133,0.0,0.0,0.0,913.6415607681555
30,0.0,0.0,0.0,0.0,121.81592524822345,193.04681903984184,0.0,0.0,0.0,875.0915616496502
31,0.0,0.0,0.0,0.0,121.10089367249631,184.9357823546606,0.0,0.0,0.0,838.3237982918507
32,0.0,0.0,0.0,0.0,120.41186032717316,177.19762071081837,0.0,0.0,0.0,803.246297450929
33,0.0,0.0,0.0,0.0,119.74787992814755,169.81321032355183,0.0,0.0,0.0,769.7723699871393
34,0.0,0.0,0.0,0.0,119.10804156142318,162.76452015191478,0.0,0.0,0.0,737.8202802269379
35,0.0,0.0,0.0,0.0,118.4914674334319,156.03454379307203,0.0,0.0,0.0,707.3129372361711
36,0.0,0.0,0.0,0.0,117.89731166678969,149.60723587870967,0.0,0.0,0.0,678.177606501601
37,0.0,0.0,0.0,0.0,117.32475913983843,143.4674526652289,0.0,0.0,0.0,650.3456406230732
38,0.0,0.0,0.0,0.0,116.7730243683813,137.600896530928,0.0,0.0,0.0,623.7522277162738
39,0.0,0.0,0.0,0.0,116.24135042807787,131.99406411339393,0.0,0.0,0.0,598.336156316749
40,0.0,0.0,0.0,0.0,115.72900791602046,126.63419783893144,0.0,0.0,0.0,574.0395956602138
41,0.0,0.0,0.0,0.0,115.23529395006702,121.50924061314689,0.0,0.0,0.0,550.8078902925439
42,0.0,0.0,0.0,0.0,114.7595312045579,116.60779345788147,0.0,0.0,0.0,528.589368035727
43,0.0,0.0,0.0,0.0,114.3010669810935,111.91907589462481,0.0,0.0,0.0,507.33516040375565
44,0.0,0.0,0.0,0.0,113.859272313098,107.43288888843179,0.0,0.0,0.0,486.99903462542
45,0.0,0.0,0.0,0.0,113.4335411029409,103.13958017927439,0.0,0.0,0.0,467.53723648947033
46,0.0,0.0,0.0,0.0,113.02328929043217,99.0300118397626,0.0,0.0,0.0,448.90834328202976
47,0.0,0.0,0.0,0.0,112.62795405155086,95.09552990932724,0.0,0.0,0.0,431.0731261367195
48,0.0,0.0,0.0,0.0,112.24699302630732,91.32793596533138,0.0,0.0,0.0,413.99442116498585
49,0.0,0.0,0.0,0.0,111.87988357468015,87.71946050122146,0.0,0.0,0.0,397.6370087778349
50,0.0,0.0,0.0,0.0,112.27530943924216,84.82878098333184,0.0,0.0,0.0,384.53340382790503
51,0.0,0.0,0.0,0.0,113.40653968275349,82.56806060829085,0.0,0.0,0.0,374.285437384907
52,0.0,0.0,0.0,0.0,114.49663889721778,80.33073520317156,0.0,0.0,0.0,364.143521592551
53,0.0,0.0,0.0,0.0,115.54710258857665,78.12015255902347,0.0,0.0,0.0,354.122832166822
54,0.0,0.0,0.0,0.0,116.55937188684005,75.9392389875873,0.0,0.0,0.0,344.236634235443
55,0.0,0.0,0.0,0.0,117.53483552317118,73.79053604773956,0.0,0.0,0.0,334.4964488208131
56,0.0,0.0,0.0,0.0,118.47483173508503,71.6762344085645,0.0,0.0,0.0,324.91220634312555
