Altitude (km),Total (kg/m3),Neutral Temp. (K),Pressure (Pa),C (kg/m3),N2 (kg/m3),CH3 (kg/m3),C2H4 (kg/m3),He (kg/m3),H (kg/m3),CH4 (kg/m3),C2H6 (kg/m3),Ar (kg/m3),C2H2 (kg/m3),C3H4 (kg/m3),H2 (kg/m3)
24.5,0.07624,126.43223789776036,33040.0,0.0,0.00010227473151437483,0.0,0.0,0.020567131232847462,0.0,0.002092948391697821,0.0,3.870664755369381e-5,0.0,0.0,0.05343893899638665
25.5,0.07256,124.81396187331151,31310.0,0.0,9.731866374967184e-5,0.0,0.0,0.019571914991398952,0.0,0.0019916733909040992,0.0,3.682159326300737e-5,0.0,0.0,0.05086227136068427
26.5,0.07079,123.13432135907591,29660.0,0.0,9.48921117065919e-5,0.0,0.0,0.01909211761099895,0.0,0.0019428483435856268,0.0,3.590728194629171e-5,0.0,0.0,0.049624234651762536
27.5,0.06895,121.41014377691934,28050.0,0.0,9.23724244997209e-5,0.0,0.0,0.018594349745427206,0.0,0.0018920949216431455,0.0,3.4957629533443696e-5,0.0,0.0,0.048336225278896486
28.5,0.06702,119.67876726859026,26490.0,0.0,8.973172665121747e-5,0.0,0.0,0.01807648758294329,0.0,0.0018388204703232596,0.0,3.396198981936563e-5,0.0,0.0,0.04698099823026287
29.5,0.06268,117.94049522014875,24990.0,0.0,8.386902469054192e-5,0.0,0.0,0.016907257724019173,0.0,0.0017194047317935842,0.0,3.174542261020999e-5,0.0,0.0,0.0439377230968865
30.5,0.05911,116.28758099267955,23570.0,0.0,7.904464372759098e-5,0.0,0.0,0.015941668031524157,0.0,0.0016210100996123709,0.0,2.9917631538986385e-5,0.0,0.0,0.041438359593596895
31.5,0.05476,114.71741496249328,22260.0,0.0,7.31859670389243e-5,0.0,0.0,0.014766374309577252,0.0,0.0015013233803540633,0.0,2.7697752840242446e-5,0.0,0.0,0.038391418590189526
32.5,0.05199,113.31104689442287,21010.0,0.0,6.94491121083742e-5,0.0,0.0,0.014018340878454773,0.0,0.0014251011106593968,0.0,2.6277864272523536e-5,0.0,0.0,0.03645083103450494
33.5,0.05034,111.95468878821926,19830.0,0.0,6.72079903831341e-5,0.0,0.0,0.01357248290858881,0.0,0.0013795682885058742,0.0,2.5424786285592106e-5,0.0,0.0,0.03529531602623659
34.5,0.04802,110.89377020601877,18700.0,0.0,6.405469906207423e-5,0.0,0.0,0.01294659401841207,0.0,0.001315486147566854,0.0,2.4229216261526497e-5,0.0,0.0,0.03366963591869748
35.5,0.04508,109.8649528018082,17630.0,0.0,6.0080396963817395e-5,0.0,0.0,0.012153588490454717,0.0,0.001234473281503664,0.0,2.272314365493888e-5,0.0,0.0,0.031609134687422866
36.5,0.04165,109.34317563874383,16620.0,0.0,5.546137575537295e-5,0.0,0.0,0.011228536390437346,0.0,0.0011401173761466541,0.0,2.0970593714868326e-5,0.0,0.0,0.029204914263945756
37.5,0.03784,108.82260550553954,15670.0,0.0,5.034477074355914e-5,0.0,0.0,0.010201095750155261,0.0,0.0010354349812987682,0.0,1.9030893992413032e-5,0.0,0.0,0.026534093603809997
38.5,0.03541,108.7561810094006,14800.0,0.0,4.707441279041327e-5,0.0,0.0,0.009546119440753169,0.0,0.0009685242489807786,0.0,1.778748221773386e-5,0.0,0.0,0.024830494415257903
39.5,0.03404,108.70983234165946,13970.0,0.0,4.521697537180983e-5,0.0,0.0,0.009176912714581978,0.0,0.0009306441755906426,0.0,1.707855009235025e-5,0.0,0.0,0.02387014758436322
40.5,0.03273,109.16892845226138,13200.0,0.0,4.3442507439695706e-5,0.0,0.0,0.00882389252663252,0.0,0.0008943636320926829,0.0,1.6397634828165177e-5,0.0,0.0,0.022951903699006942
41.5,0.03023,109.76908106293384,12470.0,0.0,4.0092409450067054e-5,0.0,0.0,0.008150041981881679,0.0,0.0008255982304184592,0.0,1.5122199812354254e-5,0.0,0.0,0.021199145178437438
42.5,0.02859,110.54196665098542,11780.0,0.0,3.7877645465772455e-5,0.0,0.0,0.007708032462187086,0.0,0.0007803808371777929,0.0,1.4278687905645215e-5,0.0,0.0,0.02004943036726371
43.5,0.02763,111.43395007352215,11120.0,0.0,3.656107266411162e-5,0.0,0.0,0.007449346200460123,0.0,0.0007537576911468933,0.0,1.3775756762426816e-5,0.0,0.0,0.019376559278966442
44.5,0.02491,112.42591072912288,10510.0,0.0,3.292198673019923e-5,0.0,0.0,0.006716125603923047,0.0,0.0006791809309097217,0.0,1.2398678799780095e-5,0.0,0.0,0.017469372799637256
