Altitude (km),O (kg/m3),N2 (kg/m3),O2 (kg/m3),Total (kg/m3),Neutral Temp. (K),He (kg/m3),Ar (kg/m3),H (kg/m3),N (kg/m3),H2 (kg/m3)
79.5,0.0,0.0,0.0,0.003263,142.8,0.0003263,0.0,0.0,0.0,0.0029367
80.5,0.0,0.0,0.0,0.003068,145.2,0.00030680000000000003,0.0,0.0,0.0,0.0027612
81.5,0.0,0.0,0.0,0.002888,147.6,0.0002888,0.0,0.0,0.0,0.0025992
82.5,0.0,0.0,0.0,0.002741,149.0,0.0002741,0.0,0.0,0.0,0.0024669
83.5,0.0,0.0,0.0,0.00258,151.6,0.000258,0.0,0.0,0.0,0.002322
84.5,0.0,0.0,0.0,0.002449,153.1,0.0002449,0.0,0.0,0.0,0.0022041
85.5,0.0,0.0,0.0,0.002332,154.1,0.0002332,0.0,0.0,0.0,0.0020988
86.5,0.0,0.0,0.0,0.002221,155.3,0.0002221,0.0,0.0,0.0,0.0019989
87.5,0.0,0.0,0.0,0.002113,156.6,0.00021129999999999999,0.0,0.0,0.0,0.0019016999999999999
88.5,0.0,0.0,0.0,0.002017,157.5,0.00020170000000000002,0.0,0.0,0.0,0.0018153000000000002
89.5,0.0,0.0,0.0,0.001929,158.1,0.0001929,0.0,0.0,0.0,0.0017361
90.5,0.0,0.0,0.0,0.001846,158.5,0.00018460000000000001,0.0,0.0,0.0,0.0016614
91.5,0.0,0.0,0.0,0.001764,159.3,0.0001764,0.0,0.0,0.0,0.0015876
92.5,0.0,0.0,0.0,0.001689,159.8,0.0001689,0.0,0.0,0.0,0.0015201
93.5,0.0,0.0,0.0,0.00162,160.0,0.000162,0.0,0.0,0.0,0.0014579999999999999
94.5,0.0,0.0,0.0,0.001553,160.3,0.0001553,0.0,0.0,0.0,0.0013977
95.5,0.0,0.0,0.0,0.001489,160.6,0.00014890000000000001,0.0,0.0,0.0,0.0013401
96.5,0.0,0.0,0.0,0.001435,160.1,0.00014350000000000002,0.0,0.0,0.0,0.0012915000000000001
97.5,0.0,0.0,0.0,0.001383,159.6,0.0001383,0.0,0.0,0.0,0.0012446999999999998
98.5,0.0,0.0,0.0,0.001333,159.1,0.00013330000000000001,0.0,0.0,0.0,0.0011997
99.5,0.0,0.0,0.0,0.001284,158.5,0.0001284,0.0,0.0,0.0,0.0011556000000000001
100.5,0.0,0.0,0.0,0.001241,157.4,0.0001241,0.0,0.0,0.0,0.0011168999999999999
101.5,0.0,0.0,0.0,0.0012,156.4,0.00011999999999999999,0.0,0.0,0.0,0.00108
102.5,0.0,0.0,0.0,0.001159,155.2,0.00011590000000000001,0.0,0.0,0.0,0.0010431000000000001
103.5,0.0,0.0,0.0,0.001121,154.1,0.00011210000000000001,0.0,0.0,0.0,0.0010089
104.5,0.0,0.0,0.0,0.00108,153.4,0.00010800000000000001,0.0,0.0,0.0,0.000972
105.5,0.0,0.0,0.0,0.001039,152.9,0.0001039,0.0,0.0,0.0,0.0009351
106.5,0.0,0.0,0.0,0.0009972,152.6,9.972e-5,0.0,0.0,0.0,0.00089748
107.5,0.0,0.0,0.0,0.0009541,152.9,9.541000000000001e-5,0.0,0.0,0.0,0.0008586900000000001
108.5,0.0,0.0,0.0,0.0009128,153.2,9.128000000000001e-5,0.0,0.0,0.0,0.00082152
109.5,0.0,0.0,0.0,0.0008769,152.9,8.769000000000001e-5,0.0,0.0,0.0,0.00078921
110.5,0.0,0.0,0.0,0.0008429,152.5,8.429000000000001e-5,0.0,0.0,0.0,0.0007586100000000001
111.5,0.0,0.0,0.0,0.0008108,151.9,8.108e-5,0.0,0.0,0.0,0.00072972
112.5,0.0,0.0,0.0,0.0007809,151.2,7.809e-5,0.0,0.0,0.0,0.00070281
113.5,0.0,0.0,0.0,0.0007521,150.4,7.521e-5,0.0,0.0,0.0,0.00067689
