Altitude (km),Total (kg/m3),Neutral Temp. (K),Pressure (Pa),C (kg/m3),N2 (kg/m3),CH3 (kg/m3),C2H4 (kg/m3),He (kg/m3),H (kg/m3),CH4 (kg/m3),C2H6 (kg/m3),Ar (kg/m3),C2H2 (kg/m3),C3H4 (kg/m3),H2 (kg/m3)
34.5,0.04802,110.89377020601877,18700.0,0.0,7.049269876145102e-5,0.0,0.0,0.012949714089820643,0.0,0.0013802808903414674,0.0,2.4210554149403228e-5,0.0,0.0,0.03359530176692703
35.5,0.04508,109.8649528018082,17630.0,0.0,6.612432496506696e-5,0.0,0.0,0.012156552217310391,0.0,0.0012952940333260967,0.0,2.2709102846056123e-5,0.0,0.0,0.0315393203215524
36.5,0.04165,109.34317563874383,16620.0,0.0,6.10479820832967e-5,0.0,0.0,0.01123175786905685,0.0,0.001196229205499822,0.0,2.095856047493969e-5,0.0,0.0,0.02914000638288509
37.5,0.03784,108.82260550553954,15670.0,0.0,5.542263092130423e-5,0.0,0.0,0.010204460557874762,0.0,0.0010863402890326506,0.0,1.9020810994304695e-5,0.0,0.0,0.026474755711176974
38.5,0.03541,108.7561810094006,14800.0,0.0,5.1826396214792036e-5,0.0,0.0,0.009549285814289982,0.0,0.0010161587904046218,0.0,1.777811210440755e-5,0.0,0.0,0.02477495088698619
39.5,0.03404,108.70983234165946,13970.0,0.0,4.9785224358553585e-5,0.0,0.0,0.009179956430116562,0.0,0.0009764370141108809,0.0,1.7069573866865315e-5,0.0,0.0,0.02381675175754714
40.5,0.03273,109.16892845226138,13200.0,0.0,4.7821333377591166e-5,0.0,0.0,0.008826822644808139,0.0,0.0009383960039971743,0.0,1.6389046738769666e-5,0.0,0.0,0.022900570971078324
41.5,0.03023,109.76908106293384,12470.0,0.0,4.4120667881971703e-5,0.0,0.0,0.008152752504759156,0.0,0.000866269148049717,0.0,1.5114310511490433e-5,0.0,0.0,0.021151743368797667
42.5,0.02859,110.54196665098542,11780.0,0.0,4.16816817950649e-5,0.0,0.0,0.007710612044948168,0.0,0.0008187939605316853,0.0,1.42712916835863e-5,0.0,0.0,0.0200046410210415
43.5,0.02763,111.43395007352215,11120.0,0.0,4.0237636603606785e-5,0.0,0.0,0.0074518623307940415,0.0,0.0007907982716305771,0.0,1.3768687441624236e-5,0.0,0.0,0.01933333307353015
44.5,0.02491,112.42591072912288,10510.0,0.0,3.623618119153039e-5,0.0,0.0,0.006718291083696413,0.0,0.0007124882252366901,0.0,1.239214732677408e-5,0.0,0.0,0.017430592362548594
45.5,0.02473,113.57144606360646,9925.0,0.0,3.59324395804652e-5,0.0,0.0,0.006669621610173477,0.0,0.0007068544834863897,0.0,1.2280808867814443e-5,0.0,0.0,0.01730531065789185
46.5,0.02302,114.80883534517054,9378.0,0.0,3.340449306656142e-5,0.0,0.0,0.006208424202416626,0.0,0.0006575080059488266,0.0,1.1410100057022388e-5,0.0,0.0,0.01610925319851096
47.5,0.0218,116.22974123977218,8862.0,0.0,3.1585131451179155e-5,0.0,0.0,0.0058795481614489975,0.0,0.0006221791163685204,0.0,1.0782559507167334e-5,0.0,0.0,0.015255905031224135
48.5,0.02065,117.63383826905796,8380.0,0.0,2.987313735316017e-5,0.0,0.0,0.005569532779568916,0.0,0.0005889062676567092,0.0,1.0192424922877595e-5,0.0,0.0,0.014451495390498342
49.5,0.0193,119.06397948838018,7916.0,0.0,2.787663319016139e-5,0.0,0.0,0.0052055601074563525,0.0,0.000549976876595623,0.0,9.505829460497675e-6,0.0,0.0,0.013507080553297366
50.5,0.01817,120.48131850836779,7480.0,0.0,2.6203257265655478e-5,0.0,0.0,0.004900766871499341,0.0,0.000517354043185417,0.0,8.92946636150086e-6,0.0,0.0,0.012716746361688083
51.5,0.01744,121.89567770143418,7065.0,0.0,2.510937588577208e-5,0.0,0.0,0.004703498305304214,0.0,0.0004961083251659416,0.0,8.549351753599803e-6,0.0,0.0,0.012206734641890473
52.5,0.01628,123.3064157430572,6674.0,0.0,2.3401016684050437e-5,0.0,0.0,0.0043903018368414365,0.0,0.00046268195785241744,0.0,7.960860104843066e-6,0.0,0.0,0.011395654328517253
53.5,0.01537,124.7078770793028,6307.0,0.0,2.2057166859139182e-5,0.0,0.0,0.004144570439719372,0.0,0.0004364181341042218,0.0,7.497309486461951e-6,0.0,0.0,0.010759456949830805
54.5,0.01489,126.13504904022889,5954.0,0.0,2.133305997202976e-5,0.0,0.0,0.00401481361702885,0.0,0.00042239331330214943,0.0,7.2449022285712525e-6,0.0,0.0,0.010424215107468403
55.5,0.01402,127.40428998396058,5621.0,0.0,2.005090608942785e-5,0.0,0.0,0.0037801301900619315,0.0,0.00039732789334470447,0.0,6.803476417609079e-6,0.0,0.0,0.009815687534086326
56.5,0.01318,128.50495548053647,5303.0,0.0,1.8812853390131187e-5,0.0,0.0,0.0035537673006018123,0.0,0.0003731406603347156,0.0,6.377595598921887e-6,0.0,0.0,0.00922790159007442
57.5,0.0121,129.57538727532423,5011.0,0.0,1.72385663298249e-5,0.0,0.0,0.0032626715481500427,0.0,0.0003422242940212772,0.0,5.83874777001006e-6,0.0,0.0,0.008472026843728843
58.5,0.0112,130.61821224858974,4742.0,0.0,1.592691022228488e-5,0.0,0.0,0.003020091001907868,0.0,0.0003164629753262598,0.0,5.389844835042084e-6,0.0,0.0,0.007842129267708544
59.5,0.01029,131.64184338692442,4492.0,0.0,1.4606338815137854e-5,0.0,0.0,0.0027747964458580314,0.0,0.00029047409228388614,0.0,4.938773879169136e-6,0.0,0.0,0.007205184349163776
60.5,0.009602,132.6396424976684,4261.0,0.0,1.3605673435892915e-5,0.0,0.0,0.0025893505099958115,0.0,0.00027080163278629123,0.0,4.596636026533046e-6,0.0,0.0,0.006723645547755472
61.5,0.008991,133.48212204437942,4045.0,0.0,1.2715253895254641e-5,0.0,0.0,0.002424445073787282,0.0,0.00025332086407859494,0.0,4.292424368671728e-6,0.0,0.0,0.006296226383870198
62.5,0.008408,134.28473455724762,3843.0,0.0,1.186765682314135e-5,0.0,0.0,0.0022670721406630834,0.0,0.00023666268272496278,0.0,4.003199967717836e-6,0.0,0.0,0.005888394319821094
63.5,0.007897,135.0748541280698,3654.0,0.0,1.112507079711477e-5,0.0,0.0,0.002129136653221681,0.0,0.00022206491449111105,0.0,3.749859515929412e-6,0.0,0.0,0.005530923501974164
64.5,0.007635,135.8708149787116,3473.0,0.0,1.0735243265583797e-5,0.0,0.0,0.002058348715519044,0.0,0.00021448872215401558,0.0,3.6156932068940883e-6,0.0,0.0,0.005347811625854463
65.5,0.007264,136.67136043655037,3300.0,0.0,1.0193798495525038e-5,0.0,0.0,0.001958186538775733,0.0,0.0002038667581879544,0.0,3.430688455118886e-6,0.0,0.0,0.005088322216085668
66.5,0.006892,137.47499219831647,3135.0,0.0,9.65293921683492e-6,0.0,0.0,0.0018577688129795438,0.0,0.00019323658581476937,0.0,3.2461536482096944e-6,0.0,0.0,0.004828095508340641
67.5,0.006399,138.15393971189042,2981.0,0.0,8.944733196957537e-6,0.0,0.0,0.0017247771878689411,0.0,0.0001792302820239035,0.0,3.0052156269578187e-6,0.0,0.0,0.00448304258128324
68.5,0.006019,138.81304192750912,2838.0,0.0,8.39731286457688e-6,0.0,0.0,0.0016222601575543148,0.0,0.00016841805987066684,0.0,2.8187378746649223e-6,0.0,0.0,0.0042171057318357765
69.5,0.005593,139.47144833759563,2702.0,0.0,7.7879362646283e-6,0.0,0.0,0.0015073574641705477,0.0,0.00015634162304082946,0.0,2.6118201640132654e-6,0.0,0.0,0.003918901156359981
70.5,0.005345,140.11692142502886,2575.0,0.0,7.4285373171711285e-6,0.0,0.0,0.0014404390686576596,0.0,0.0001492627726677531,0.0,2.489077651004492e-6,0.0,0.0,0.003745380543706412
71.5,0.005118,140.75676426881083,2455.0,0.0,7.099717441415822e-6,0.0,0.0,0.0013791877938141288,0.0,0.00014278473306918548,0.0,2.376806462978935e-6,0.0,0.0,0.003586550949212291
72.5,0.0049,141.40966401764652,2338.0,0.0,6.784243565961152e-6,0.0,0.0,0.0013203667444027498,0.0,0.00013656662537573855,0.0,2.269147311994012e-6,0.0,0.0,0.0034340132393435563
73.5,0.004668,141.9594019686204,2227.0,0.0,6.449265241503429e-6,0.0,0.0,0.0012577818257992646,0.0,0.0001299569403624851,0.0,2.155104680813028e-6,0.0,0.0,0.003271656863915934
74.5,0.00444,142.51057797118963,2121.0,0.0,6.1211631881704195e-6,0.0,0.0,0.0011962813277778528,0.0,0.00012347256119455444,0.0,2.043562415337857e-6,0.0,0.0,0.0031120813854240846
75.5,0.004219,143.05641402319623,2021.0,0.0,5.8041828150412305e-6,0.0,0.0,0.0011366741359665634,0.0,0.00011719808315164654,0.0,1.9359528018160717e-6,0.0,0.0,0.0029573876452649323
76.5,0.003924,143.60057610200923,1926.0,0.0,5.386962163062083e-6,0.0,0.0,0.0010571378013140252,0.0,0.00010888421361879158,0.0,1.7951410079384832e-6,0.0,0.0,0.0027507958818961836
77.5,0.003662,144.12299574519295,1839.0,0.0,5.017105580289277e-6,0.0,0.0,0.000986502132825121,0.0,0.00010150750640060067,0.0,1.6704165644816514e-6,0.0,0.0,0.0025673028386295075
78.5,0.003467,144.63928434528182,1756.0,0.0,4.740181948484079e-6,0.0,0.0,0.0009339224000958723,0.0,9.599993094931097e-5,0.0,1.576813262375995e-6,0.0,0.0,0.0024307606737439566
79.5,0.003263,145.0879359136228,1678.0,0.0,4.4506987460397435e-6,0.0,0.0,0.0008789283528096944,0.0,9.024136938665232e-5,0.0,1.4790966579222162e-6,0.0,0.0,0.0022879004823996908
80.5,0.003068,145.53329152421955,1604.0,0.0,4.174879817360072e-6,0.0,0.0,0.0008263638912591685,0.0,8.474602564277046e-5,0.0,1.3861125690035418e-6,0.0,0.0,0.0021513290907116973
81.5,0.002888,145.96746962216727,1535.0,0.0,3.920928723984566e-6,0.0,0.0,0.0007778452976304383,0.0,7.968006842989059e-5,0.0,1.300588845235019e-6,0.0,0.0,0.0020252531163704518
82.5,0.002741,146.40143399335884,1469.0,0.0,3.7128242975030497e-6,0.0,0.0,0.0007382188466076901,0.0,7.553535905405857e-5,0.0,1.2304167280914031e-6,0.0,0.0,0.0019223025533126566
83.5,0.00258,146.820222967094,1408.0,0.0,3.4870124036624116e-6,0.0,0.0,0.0006948267429089829,0.0,7.101785926508014e-5,0.0,1.154548483088926e-6,0.0,0.0,0.0018095138369391853
84.5,0.002449,147.24291272938285,1349.0,0.0,3.3025698891451555e-6,0.0,0.0,0.0006595172050024411,0.0,6.733465618152478e-5,0.0,1.0924911523300758e-6,0.0,0.0,0.0017177530777745585
85.5,0.002332,147.65393788369175,1294.0,0.0,3.137964208641132e-6,0.0,0.0,0.0006279816182754038,0.0,6.404631108879688e-5,0.0,1.0371270582130816e-6,0.0,0.0,0.001635796979368945
86.5,0.002221,148.07319564383855,1241.0,0.0,2.9817313213599638e-6,0.0,0.0,0.0005980420785809068,0.0,6.0925195449215565e-5,0.0,9.844629421956903e-7,0.0,0.0,0.0015580665317063216
87.5,0.002113,148.4888637338232,1191.0,0.0,2.83014700500856e-6,0.0,0.0,0.0005689044848596108,0.0,5.789256293204395e-5,0.0,9.333766879821419e-7,0.0,0.0,0.0014824394285153546
88.5,0.002017,148.90466008663063,1143.0,0.0,2.695284450892449e-6,0.0,0.0,0.0005430032080223613,0.0,5.519552846455018e-5,0.0,8.879111342154037e-7,0.0,0.0,0.0014152180679279807
89.5,0.001929,149.31985299368716,1097.0,0.0,2.5717075863458487e-6,0.0,0.0,0.0005192606324904624,0.0,5.2723675612713415e-5,0.0,8.462606048004547e-7,0.0,0.0,0.0013535977237056779
90.5,0.001846,149.7240238168513,1054.0,0.0,2.4554917282024774e-6,0.0,0.0,0.0004968698733863785,0.0,5.039581838226701e-5,0.0,8.071448136119692e-7,0.0,0.0,0.0012954716716895402
91.5,0.001764,150.13503899785246,1012.0,0.0,2.341025341920478e-6,0.0,0.0,0.00047475178559864764,0.0,4.8099666690846655e-5,0.0,7.686729450986535e-7,0.0,0.0,0.0012380388494234865
92.5,0.001689,150.54890089682445,971.4,0.0,2.236304781167168e-6,0.0,0.0,0.0004545214775318995,0.0,4.599919097090493e-5,0.0,7.334755830758381e-7,0.0,0.0,0.0011855095511329526
93.5,0.00162,150.95657297944103,933.0,0.0,2.140056252019141e-6,0.0,0.0,0.0004359102994855793,0.0,4.406770279822157e-5,0.0,7.011424101269333e-7,0.0,0.0,0.001137180799054053
94.5,0.001553,151.39541163247415,896.2,0.0,2.0464704288289887e-6,0.0,0.0,0.0004178673397529433,0.0,4.2189690338685615e-5,0.0,6.696825061418849e-7,0.0,0.0,0.0010902268169734
95.5,0.001489,151.83746628434736,860.9,0.0,1.9572379489443025e-6,0.0,0.0,0.00040063583645450987,0.0,4.039736979310656e-5,0.0,6.397125808466675e-7,0.0,0.0,0.0010453698432225924
96.5,0.001435,152.28072368097077,826.9,0.0,1.8815369970014863e-6,0.0,0.0,0.0003860957845209764,0.0,3.888053266212382e-5,0.0,6.14229101590651e-7,0.0,0.0,0.0010075279167183078
97.5,0.001383,152.7231886089541,794.3,0.0,1.8088264066192059e-6,0.0,0.0,0.00037209462330395473,0.0,3.7421862888432764e-5,0.0,5.897824089984221e-7,0.0,0.0,0.0009710849049919949
98.5,0.001333,153.16832449220976,762.8,0.0,1.7390502124424991e-6,0.0,0.0,0.00035863223174173193,0.0,3.602075225539076e-5,0.0,5.663451565753003e-7,0.0,0.0,0.0009360416206338597
99.5,0.001284,153.61419941589102,732.5,0.0,1.6709075295272512e-6,0.0,0.0,0.0003454395818449708,0.0,3.4650225544048595e-5,0.0,5.43494001845545e-7,0.0,0.0,0.0009016957910796077
100.5,0.001241,154.0648229886527,703.1,0.0,1.6108418611379906e-6,0.0,0.0,0.00033386170367201787,0.0,3.344452356736363e-5,0.0,5.233146673064674e-7,0.0,0.0,0.0008715596162321737
101.5,0.0012,154.51946662515408,675.0,0.0,1.5535819473668263e-6,0.0,0.0,0.00032282176072146335,0.0,3.22950344129836e-5,0.0,5.040872835455522e-7,0.0,0.0,0.0008428255356346407
102.5,0.001159,154.9993202034203,647.6,0.0,1.4962697799711893e-6,0.0,0.0,0.00031178007493748623,0.0,3.114506719363172e-5,0.0,4.84852059081989e-7,0.0,0.0,0.000814093736029829
103.5,0.001121,155.48126577393293,621.2,0.0,1.4431126944504412e-6,0.0,0.0,0.00030154615177769667,0.0,3.0078759101720026e-5,0.0,4.6700857611808266e-7,0.0,0.0,0.000787464967850015
