Altitude (km),Total (kg/m3),Neutral Temp. (K),CO2 (kg/m3),N2 (kg/m3),Ar (kg/m3),O2 (kg/m3)
55.5,0.01402,111.4,0.01341714,0.00028460599999999996,0.000290214,2.8040000000000023e-5
56.5,0.01318,111.8,0.01261326,0.000267554,0.000272826,2.6360000000000025e-5
57.5,0.0121,115.0,0.0115797,0.00024563,0.00025047,2.4200000000000022e-5
58.5,0.0112,117.7,0.0107184,0.00022736,0.00023184,2.240000000000002e-5
59.5,0.01029,121.3,0.00984753,0.000208887,0.00021300300000000002,2.058000000000002e-5
60.5,0.009602,123.3,0.009189113999999998,0.00019492059999999997,0.0001987614,1.9204000000000015e-5
61.5,0.008991,125.0,0.008604387,0.0001825173,0.0001861137,1.798200000000002e-5
62.5,0.008408,127.0,0.008046456,0.0001706824,0.00017404560000000002,1.6816000000000017e-5
63.5,0.007897,128.5,0.007557428999999999,0.00016030909999999998,0.0001634679,1.5794000000000012e-5
64.5,0.007635,126.4,0.007306695,0.00015499049999999999,0.00015804450000000001,1.5270000000000015e-5
65.5,0.007264,126.2,0.0069516479999999995,0.00014745919999999997,0.0001503648,1.4528000000000012e-5
66.5,0.006892,126.4,0.0065956439999999995,0.00013990759999999997,0.0001426644,1.3784000000000012e-5
67.5,0.006399,129.5,0.006123843,0.0001298997,0.0001324593,1.2798000000000012e-5
68.5,0.006019,131.0,0.0057601829999999994,0.0001221857,0.0001245933,1.203800000000001e-5
69.5,0.005593,134.2,0.005352501,0.00011353789999999999,0.0001157751,1.118600000000001e-5
70.5,0.005345,133.9,0.005115165,0.0001085035,0.0001106415,1.069000000000001e-5
71.5,0.005118,133.2,0.004897926,0.0001038954,0.0001059426,1.023600000000001e-5
72.5,0.0049,132.6,0.0046892999999999995,9.947e-5,0.00010143,9.800000000000008e-6
73.5,0.004668,132.6,0.004467276,9.47604e-5,9.662760000000001e-5,9.336000000000009e-6
74.5,0.00444,132.8,0.0042490800000000006,9.0132e-5,9.1908e-5,8.880000000000008e-6
75.5,0.004219,133.1,0.004037582999999999,8.564569999999999e-5,8.733329999999999e-5,8.438000000000006e-6
76.5,0.003924,136.4,0.0037552680000000004,7.96572e-5,8.122680000000001e-5,7.848000000000009e-6
77.5,0.003662,139.5,0.0035045339999999997,7.43386e-5,7.58034e-5,7.3240000000000064e-6
78.5,0.003467,140.7,0.003317919,7.03801e-5,7.17669e-5,6.934000000000006e-6
79.5,0.003263,142.8,0.003122691,6.62389e-5,6.75441e-5,6.526000000000006e-6
80.5,0.003068,145.2,0.0029360759999999997,6.22804e-5,6.35076e-5,6.136000000000005e-6
81.5,0.002888,147.6,0.0027638159999999997,5.862639999999999e-5,5.97816e-5,5.776000000000005e-6
82.5,0.002741,149.0,0.0026231369999999998,5.5642299999999994e-5,5.67387e-5,5.4820000000000044e-6
83.5,0.00258,151.6,0.00246906,5.237399999999999e-5,5.3405999999999997e-5,5.160000000000004e-6
84.5,0.002449,153.1,0.0023436929999999996,4.9714699999999993e-5,5.069429999999999e-5,4.898000000000004e-6
85.5,0.002332,154.1,0.0022317239999999996,4.7339599999999996e-5,4.8272399999999995e-5,4.664000000000004e-6
86.5,0.002221,155.3,0.0021254969999999996,4.5086299999999996e-5,4.59747e-5,4.442000000000003e-6
87.5,0.002113,156.6,0.002022141,4.289389999999999e-5,4.3739099999999996e-5,4.226000000000003e-6
88.5,0.002017,157.5,0.001930269,4.09451e-5,4.17519e-5,4.034000000000004e-6
89.5,0.001929,158.1,0.0018460529999999998,3.9158699999999995e-5,3.99303e-5,3.8580000000000036e-6
90.5,0.001846,158.5,0.0017666219999999998,3.74738e-5,3.82122e-5,3.6920000000000034e-6
91.5,0.001764,159.3,0.0016881479999999998,3.5809199999999996e-5,3.65148e-5,3.528000000000003e-6
92.5,0.001689,159.8,0.001616373,3.42867e-5,3.4962299999999996e-5,3.378000000000003e-6
93.5,0.00162,160.0,0.0015503399999999999,3.2885999999999997e-5,3.3533999999999994e-5,3.240000000000003e-6
94.5,0.001553,160.3,0.0014862209999999998,3.1525899999999996e-5,3.2147099999999996e-5,3.1060000000000025e-6
95.5,0.001489,160.6,0.001424973,3.02267e-5,3.08223e-5,2.9780000000000027e-6
96.5,0.001435,160.1,0.001373295,2.91305e-5,2.97045e-5,2.8700000000000026e-6
97.5,0.001383,159.6,0.0013235309999999998,2.8074899999999994e-5,2.8628099999999998e-5,2.7660000000000024e-6
98.5,0.001333,159.1,0.0012756809999999999,2.7059899999999998e-5,2.75931e-5,2.6660000000000025e-6
99.5,0.001284,158.5,0.001228788,2.60652e-5,2.65788e-5,2.5680000000000023e-6
100.5,0.001241,157.4,0.0011876369999999999,2.5192299999999996e-5,2.5688699999999997e-5,2.4820000000000022e-6
101.5,0.0012,156.4,0.0011484,2.4359999999999997e-5,2.4839999999999996e-5,2.400000000000002e-6
102.5,0.001159,155.2,0.001109163,2.3527700000000002e-5,2.3991300000000002e-5,2.318000000000002e-6
103.5,0.001121,154.1,0.001072797,2.2756299999999998e-5,2.32047e-5,2.242000000000002e-6
104.5,0.00108,153.4,0.00103356,2.1924e-5,2.2356e-5,2.1600000000000018e-6
105.5,0.001039,152.9,0.0009943229999999999,2.10917e-5,2.15073e-5,2.078000000000002e-6
106.5,0.0009972,152.6,0.0009543204,2.0243159999999997e-5,2.064204e-5,1.9944000000000016e-6
107.5,0.0009541,152.9,0.0009130737,1.936823e-5,1.974987e-5,1.908200000000002e-6
108.5,0.0009128,153.2,0.0008735495999999999,1.852984e-5,1.889496e-5,1.8256000000000016e-6
109.5,0.0008769,152.9,0.0008391933,1.780107e-5,1.815183e-5,1.7538000000000015e-6
110.5,0.0008429,152.5,0.0008066553,1.711087e-5,1.7448030000000002e-5,1.6858000000000015e-6
111.5,0.0008108,151.9,0.0007759355999999999,1.645924e-5,1.678356e-5,1.6216000000000013e-6
112.5,0.0007809,151.2,0.0007473212999999999,1.585227e-5,1.616463e-5,1.5618000000000013e-6
113.5,0.0007521,150.4,0.0007197597,1.5267629999999998e-5,1.556847e-5,1.5042000000000014e-6
114.5,0.0007217,150.2,0.0006906669,1.465051e-5,1.493919e-5,1.4434000000000013e-6
115.5,0.0006915,150.1,0.0006617654999999999,1.4037449999999997e-5,1.4314049999999999e-5,1.3830000000000012e-6
116.5,0.0006626,150.1,0.0006341081999999999,1.3450779999999999e-5,1.3715819999999998e-5,1.325200000000001e-6
117.5,0.0006352,150.0,0.0006078864,1.289456e-5,1.3148640000000001e-5,1.2704000000000012e-6
118.5,0.000609,149.9,0.000582813,1.2362699999999998e-5,1.2606299999999998e-5,1.218000000000001e-6
119.5,0.0005836,149.8,0.0005585052,1.1847079999999999e-5,1.2080519999999999e-5,1.167200000000001e-6
120.5,0.0005584,150.0,0.0005343888,1.133552e-5,1.155888e-5,1.1168000000000011e-6
121.5,0.0005343,150.2,0.0005113251,1.0846289999999999e-5,1.106001e-5,1.068600000000001e-6
122.5,0.0005105,150.6,0.0004885485,1.036315e-5,1.056735e-5,1.021000000000001e-6
123.5,0.0004861,151.6,0.00046519769999999995,9.86783e-6,1.006227e-5,9.722000000000008e-7
124.5,0.0004628,152.6,0.00044289959999999995,9.39484e-6,9.579959999999999e-6,9.256000000000007e-7
125.5,0.000441,153.5,0.00042203699999999994,8.952299999999999e-6,9.1287e-6,8.820000000000007e-7
126.5,0.0004208,154.3,0.0004027056,8.542239999999999e-6,8.71056e-6,8.416000000000008e-7
127.5,0.0004016,155.0,0.0003843312,8.152479999999999e-6,8.31312e-6,8.032000000000007e-7
128.5,0.0003837,155.6,0.00036720089999999996,7.789109999999999e-6,7.94259e-6,7.674000000000007e-7
129.5,0.0003677,155.8,0.0003518889,7.46431e-6,7.61139e-6,7.354000000000006e-7
130.5,0.0003524,156.0,0.0003372468,7.1537199999999995e-6,7.29468e-6,7.048000000000006e-7
131.5,0.0003377,156.2,0.0003231789,6.85531e-6,6.99039e-6,6.754000000000007e-7
132.5,0.0003235,156.6,0.0003095895,6.567049999999999e-6,6.69645e-6,6.470000000000005e-7
133.5,0.0003098,156.9,0.00029647859999999996,6.2889399999999995e-6,6.41286e-6,6.196000000000005e-7
134.5,0.0002967,157.3,0.0002839419,6.02301e-6,6.14169e-6,5.934000000000005e-7
135.5,0.0002846,157.4,0.00027236219999999997,5.777379999999999e-6,5.891219999999999e-6,5.692000000000004e-7
