Altitude (km),Total (kg/m3),Neutral Temp. (K),Pressure (Pa),C (kg/m3),N2 (kg/m3),CH3 (kg/m3),C2H4 (kg/m3),He (kg/m3),H (kg/m3),CH4 (kg/m3),C2H6 (kg/m3),Ar (kg/m3),C2H2 (kg/m3),C3H4 (kg/m3),H2 (kg/m3)
35.5,0.04508,109.8649528018082,17630.0,0.0,5.379315487054673e-5,0.0,0.0,0.012162661627688033,0.0,0.0011734598005587252,0.0,2.273914643915368e-5,0.0,0.0,0.03166734627044354
36.5,0.04165,109.34317563874383,16620.0,0.0,4.9654593847732845e-5,0.0,0.0,0.011237367338858582,0.0,0.0010837905465724874,0.0,2.0986184452385727e-5,0.0,0.0,0.029258201336268812
37.5,0.03784,108.82260550553954,15670.0,0.0,4.507106247234688e-5,0.0,0.0,0.010209525100010136,0.0,0.0009843008909101963,0.0,1.9045787111837786e-5,0.0,0.0,0.02658205715949549
38.5,0.03541,108.7561810094006,14800.0,0.0,4.213932765901504e-5,0.0,0.0,0.009554024275590408,0.0,0.0009206742816722272,0.0,1.7801419143565035e-5,0.0,0.0,0.024875360695934778
39.5,0.03404,108.70983234165946,13970.0,0.0,4.047270902793385e-5,0.0,0.0,0.009184512006825006,0.0,0.0008846442708084806,0.0,1.7091917991381966e-5,0.0,0.0,0.0239132790953472
40.5,0.03273,109.16892845226138,13200.0,0.0,3.8880600175062664e-5,0.0,0.0,0.00883117838169154,0.0,0.0008502095402493792,0.0,1.6410414635710285e-5,0.0,0.0,0.022993321063248313
41.5,0.03023,109.76908106293384,12470.0,0.0,3.587872324209443e-5,0.0,0.0,0.008156746467287387,0.0,0.0007849062687057937,0.0,1.5133923826380614e-5,0.0,0.0,0.021237334616938344
42.5,0.02859,110.54196665098542,11780.0,0.0,3.3901911920296654e-5,0.0,0.0,0.007714361437565976,0.0,0.0007419279098380861,0.0,1.4291082054775727e-5,0.0,0.0,0.020085517658620867
43.5,0.02763,111.43395007352215,11120.0,0.0,3.273382886963656e-5,0.0,0.0,0.007455458296549921,0.0,0.0007165942144055786,0.0,1.378985272194463e-5,0.0,0.0,0.019411423807452918
44.5,0.02491,112.42591072912288,10510.0,0.0,2.9478504398746852e-5,0.0,0.0,0.006721634079632439,0.0,0.0006456746129233447,0.0,1.2412368182442942e-5,0.0,0.0,0.017500800434863028
45.5,0.02473,113.57144606360646,9925.0,0.0,2.9224673973003834e-5,0.0,0.0,0.006673186967408038,0.0,0.0006406261025507636,0.0,1.2301273701371791e-5,0.0,0.0,0.01737466098236682
46.5,0.02302,114.80883534517054,9378.0,0.0,2.716578885873627e-5,0.0,0.0,0.006211884268853243,0.0,0.0005959316120254473,0.0,1.1429344946911667e-5,0.0,0.0,0.016173588985315665
47.5,0.0218,116.22974123977218,8862.0,0.0,2.56892045733004e-5,0.0,0.0,0.005882812388635597,0.0,0.0005638976051911496,0.0,1.080069175504031e-5,0.0,0.0,0.015316800109844911
48.5,0.02065,117.63383826905796,8380.0,0.0,2.4299578494572587e-5,0.0,0.0,0.005572613152760246,0.0,0.0005337287095969727,0.0,1.0209514176258367e-5,0.0,0.0,0.01450914904497195
49.5,0.0193,119.06397948838018,7916.0,0.0,2.2678226482992603e-5,0.0,0.0,0.005208428010450175,0.0,0.0004984346122616726,0.0,9.521719467981352e-6,0.0,0.0,0.013560937431337178
50.5,0.01817,120.48131850836779,7480.0,0.0,2.1318717460859743e-5,0.0,0.0,0.0049036001217855636,0.0,0.0004688653723293244,0.0,8.94429951988369e-6,0.0,0.0,0.012767271488904367
51.5,0.01744,121.89567770143418,7065.0,0.0,2.0428777432364648e-5,0.0,0.0,0.004706719069173792,0.0,0.00044962720238775334,0.0,8.563337965841566e-6,0.0,0.0,0.01225466161304025
52.5,0.01628,123.3064157430572,6674.0,0.0,1.903890001615535e-5,0.0,0.0,0.004393775190401262,0.0,0.0004193477746983556,0.0,7.973683490345066e-6,0.0,0.0,0.011439864451393883
53.5,0.01537,124.7078770793028,6307.0,0.0,1.7945580990412615e-5,0.0,0.0,0.004148287482627311,0.0,0.00039555800868589674,0.0,7.509199056761298e-6,0.0,0.0,0.010800699728639618
54.5,0.01489,126.13504904022889,5954.0,0.0,1.7356479235180593e-5,0.0,0.0,0.004018846539906628,0.0,0.0003828602992854665,0.0,7.256207450320335e-6,0.0,0.0,0.010463680474122404
55.5,0.01402,127.40428998396058,5621.0,0.0,1.631337952589529e-5,0.0,0.0,0.0037839400089933243,0.0,0.00036014487451012687,0.0,6.813775159233786e-6,0.0,0.0,0.009852787961811419
56.5,0.01318,128.50495548053647,5303.0,0.0,1.5306185989201354e-5,0.0,0.0,0.0035569272711740594,0.0,0.0003382149544507816,0.0,6.386789246107273e-6,0.0,0.0,0.009263164799139852
57.5,0.0121,129.57538727532423,5011.0,0.0,1.4025416642164646e-5,0.0,0.0,0.0032651961868589837,0.0,0.0003101868134232939,0.0,5.846754716885323e-6,0.0,0.0,0.008504744828358671
58.5,0.0112,130.61821224858974,4742.0,0.0,1.2958311348744048e-5,0.0,0.0,0.0030220884531912172,0.0,0.0002868321742424544,0.0,5.396867548443631e-6,0.0,0.0,0.00787272419366914
59.5,0.01029,131.64184338692442,4492.0,0.0,1.1883940209925941e-5,0.0,0.0,0.0027763255249527623,0.0,0.00026327217551869636,0.0,4.9448773169527445e-6,0.0,0.0,0.0072335734820016635
60.5,0.009602,132.6396424976684,4261.0,0.0,1.1069838450828024e-5,0.0,0.0,0.002590498954605743,0.0,0.0002454378988625222,0.0,4.602015859227108e-6,0.0,0.0,0.0067503912922216806
61.5,0.008991,133.48212204437942,4045.0,0.0,1.0346026690901927e-5,0.0,0.0,0.0024254994660575947,0.0,0.00022960103444036176,0.0,4.297423542949818e-6,0.0,0.0,0.006321256049268194
62.5,0.008408,134.28473455724762,3843.0,0.0,9.657067708805848e-6,0.0,0.0,0.0022680811945727433,0.0,0.00021451060986821976,0.0,4.007884846581392e-6,0.0,0.0,0.00591174324300365
63.5,0.007897,135.0748541280698,3654.0,0.0,9.053454607777549e-6,0.0,0.0,0.002130105687848655,0.0,0.00020128657407294455,0.0,3.7542687345340997e-6,0.0,0.0,0.005552800014736088
64.5,0.007635,135.8708149787116,3473.0,0.0,8.736850759282712e-6,0.0,0.0,0.0020593063634503648,0.0,0.0001944264337702007,0.0,3.6199649162853123e-6,0.0,0.0,0.005368910387103868
65.5,0.007264,136.67136043655037,3300.0,0.0,8.296802228280165e-6,0.0,0.0,0.0019591175314983764,0.0,0.00018480484278591246,0.0,3.4347609401250673e-6,0.0,0.0,0.005108346062547306
66.5,0.006892,137.47499219831647,3135.0,0.0,7.857168310424765e-6,0.0,0.0,0.0018586710720978764,0.0,0.0001751751239829119,0.0,3.250025476108888e-6,0.0,0.0,0.004847046610132679
67.5,0.006399,138.15393971189042,2981.0,0.0,7.280661651840805e-6,0.0,0.0,0.0017256104412609506,0.0,0.00016247411791810114,0.0,3.00877735911882e-6,0.0,0.0,0.004500626001809988
68.5,0.006019,138.81304192750912,2838.0,0.0,6.835019300736727e-6,0.0,0.0,0.0016230391809933006,0.0,0.0001526689064734735,0.0,2.8220566248747134e-6,0.0,0.0,0.004233634836607614
