Altitude (km),Total (kg/m3),Neutral Temp. (K),H2 (kg/m3),He (kg/m3),H2O (kg/m3),CH4 (kg/m3),NH3 (kg/m3),H2S (kg/m3),N2 (kg/m3)
135.5,0.0002846,157.4,0.00018933424129902827,7.321042183063863e-5,1.224409722728139e-5,7.357793134226642e-6,1.459571297464731e-6,6.299213832480227e-7,3.6395382811225737e-7
136.5,0.000273,157.4,0.0001816171745419351,7.022644117977635e-5,1.1745040558846873e-5,7.057897138594075e-6,1.4000806894162742e-6,6.042464428204858e-7,3.4911944861084427e-7
137.5,0.0002619,157.5,0.0001742327399726476,6.737108038455467e-5,1.1267494953706945e-5,6.770927694497393e-6,1.3431543317147333e-6,5.796781808596528e-7,3.3492448201897475e-7
138.5,0.0002497,158.6,0.0001661165145901875,6.423275590692363e-5,1.0742625009318915e-5,6.4555198370217596e-6,1.2805866232499767e-6,5.526752262720706e-7,3.1932280702610915e-7
139.5,0.0002375,160.3,0.0001580002892077274,6.109443142929261e-5,1.0217755064930887e-5,6.140111979546127e-6,1.2180189147852201e-6,5.256722716844885e-7,3.037211320332436e-7
140.5,0.0002259,161.9,0.00015028322245063416,5.811045077843031e-5,9.718698396496367e-6,5.840215983913558e-6,1.158528306736763e-6,4.999973312569513e-7,2.8888675253183045e-7
141.5,0.0002155,163.0,0.00014336447294427474,5.54351577811055e-5,9.271268279968868e-6,5.571343711967118e-6,1.105191899520905e-6,4.769784191495043e-7,2.7558696401332213e-7
142.5,0.0002065,163.6,0.0001373770935637714,5.3120000379574417e-5,8.884069140666225e-6,5.338665784321159e-6,1.0590353932764124e-6,4.570582067488289e-7,2.6407753164153604e-7
143.5,0.0001979,164.1,0.00013165581993351266,5.090773886255582e-5,8.514078851999254e-6,5.11632909790391e-6,1.014930287309453e-6,4.380233371215169e-7,2.530796295973849e-7
144.5,0.0001897,164.6,0.00012620065205349847,4.879837323004971e-5,8.161297413967955e-6,4.90433365271537e-6,9.728765816200263e-7,4.1987381026756825e-7,2.425932578808687e-7
145.5,0.0001822,164.9,0.00012121116923641235,4.6869075395440475e-5,7.838631464549085e-6,4.710435379677071e-6,9.344128264162825e-7,4.0327363326700547e-7,2.3300206423771363e-7
146.5,0.0001749,165.1,0.00011635473929444851,4.499122550308748e-5,7.524569940448051e-6,4.5217077272531265e-6,8.969747713513052e-7,3.871161276531243e-7,2.2366663575837603e-7
147.5,0.000168,165.3,0.00011176441510272927,4.321627149524698e-5,7.22771726698269e-6,4.3433213160578915e-6,8.615881165638609e-7,3.718439648126065e-7,2.1484273760667336e-7
148.5,0.000161,165.9,0.00010710756447344889,4.1415593516278356e-5,6.926562380858412e-6,4.16234959455548e-6,8.256886117070334e-7,3.56350466278748e-7,2.05890956873062e-7
149.5,0.0001542,166.7,0.0001025837667192908,3.966636347956598e-5,6.63401192005197e-6,3.9865484936674225e-6,7.908148069889724e-7,3.4129963913157104e-7,1.9719494130326806e-7
150.5,0.0001476,167.5,9.819302184025501e-5,3.796858138510985e-5,6.350065884563364e-6,3.81591801339372e-6,7.569667024096779e-7,3.2669148337107577e-7,1.887546908972916e-7
151.5,0.0001416,168.1,9.42014355865861e-5,3.642514311742245e-5,6.091933125028268e-6,3.66079939496308e-6,7.261956982466828e-7,3.1341134177062554e-7,1.8108173598276757e-7
152.5,0.0001361,168.3,9.054248152072294e-5,3.501032470537568e-5,5.8553114287877635e-6,3.518607328068328e-6,6.97988944430604e-7,3.0123787863687946e-7,1.7404819397778718e-7
153.5,0.0001309,168.5,8.708310676754323e-5,3.3672678206713275e-5,5.631596370524013e-6,3.3841711920951076e-6,6.71320740822675e-7,2.8972842258315596e-7,1.6739829971853302e-7
154.5,0.0001258,168.7,8.369025845192465e-5,3.236075567917899e-5,5.412183524919181e-6,3.2523203664290643e-6,6.451653872841292e-7,2.7844030222277325e-7,1.6087628804118756e-7
155.5,0.0001211,168.7,8.056351588655069e-5,3.1151729036157195e-5,5.209979529950023e-6,3.1308107819917305e-6,6.210614340231164e-7,2.680375246357539e-7,1.5486580669147706e-7
156.5,0.0001166,168.8,7.756982619629901e-5,2.9994150335391655e-5,5.016379960298701e-6,3.014471818168751e-6,5.979831809008702e-7,2.580774184354162e-7,1.4911109050558401e-7
