Particle Name,Weight,Energy (keV),Pitch Angle (deg),Unit Momentum x,Unit Momentum y,Unit Momentum z,Position x (m),Position y (m),Position z (m)
gamma,0.01,19.8897,174.932,0.281656,0.022067,0.959262,41513.5,7809.45,451000
gamma,0.01,28.8786,132.869,-0.663939,0.01717,0.74759,-413351,-50555.8,451000
gamma,0.01,92.888,151.492,-0.171543,-0.385185,0.906755,-136605,-157395,451000
gamma,0.01,30.0726,158.685,0.215731,-0.39151,0.894528,22163.2,-162146,451000
gamma,0.01,11.48,136.506,-0.423852,0.485128,0.764853,-271255,233324,451000
gamma,0.01,70.5255,166.736,0.332313,0.193828,0.923038,66011.1,76793.1,451000
gamma,0.01,5.01174,149.38,-0.196925,-0.409176,0.890952,-148353,-170110,451000
gamma,0.01,22.5373,116.453,-0.879976,0.132236,0.456241,-778377,106251,451000
gamma,0.01,50.7582,117.203,-0.834895,-0.295252,0.464518,-729895,-235171,451000
gamma,0.01,9.07404,128.396,-0.355388,-0.700597,0.618759,-278705,-418399,451000
gamma,0.01,29.6579,124.286,-0.422212,-0.715034,0.557193,-346363,-474113,451000
gamma,0.01,5.07048,122.177,0.00887378,-0.911999,0.410096,-58827,-821121,451000
gamma,0.01,77.6691,121.674,0.284204,0.894142,0.346032,-183665,712225,451000
gamma,0.01,54.7515,162.877,0.485954,-0.00184558,0.873982,84650,37475,451000
gamma,0.01,16.899,122.534,-0.40882,-0.751425,0.517906,-358030,-535949,451000
gamma,0.01,12.4917,128.198,-0.693724,-0.133253,0.707806,-428397,-70132.2,451000
gamma,0.01,10.8517,125.034,-0.239513,-0.809442,0.536132,-231625,-557676,451000
gamma,0.01,5.18257,154.533,0.573363,-0.228473,0.786801,202037,-107807,451000
gamma,0.01,8.57723,139.182,-0.432487,-0.400504,0.807806,-264327,-183588,451000
gamma,0.01,52.7188,130.15,-0.69994,-0.0508326,0.71239,-429289,-27002.1,451000
gamma,0.01,15.2167,126.548,-0.631968,0.451529,0.629872,-449548,290091,451000
e-,1,54.4051,151.015,0.489092,0.355371,0.796556,60.2065,-114.991,451000
e-,1,110.531,156.449,0.407674,0.322441,0.854303,178.891,56.6466,451000
e-,1,110.4,113.573,-0.821245,0.0830089,0.564505,173.226,-101.87,451000
e-,1,84.2832,154.995,0.0214141,0.397876,0.917189,-48.2448,-105.777,451000
e-,1,84.6768,140.315,0.709913,-0.275424,0.648201,224.241,-84.7971,451000
e-,0.01,9.40665,150.773,0.26186,-0.471109,0.84231,-43172.8,16004.1,451000
gamma,0.01,10.6678,146.923,0.729519,-0.15559,0.666028,343303,-88424.8,451000
gamma,0.01,7.60392,124.654,-0.157985,0.873875,0.459764,-196998,712972,451000
gamma,0.01,8.07623,141.527,-0.304059,-0.491397,0.816136,-207863,-226788,451000
gamma,0.01,6.6774,151.323,-0.0817942,-0.4577,0.885336,-102664,-194826,451000
e-,1,128.206,157.728,0.43117,0.271383,0.86049,238.04,-17.6973,451000
e-,1,143.281,128.637,0.288252,0.7632,0.578305,165.795,-19.0622,451000
e-,1,32.2255,152.647,-0.00837654,0.427457,0.903997,183.058,115.135,451000
gamma,0.01,19.8035,135.777,-0.358482,0.564289,0.743685,-237947,271627,451000
gamma,0.01,19.6733,146.346,0.0184764,-0.574681,0.818169,-56897.2,-252620,451000
gamma,0.01,8.3484,145.044,-0.110443,-0.550847,0.827267,-112899,-239512,451000
gamma,0.01,18.4472,119.686,-0.814364,-0.231841,0.532035,-614178,-156955,451000
gamma,0.01,2.26455,163.5,-0.0976077,-0.0775178,0.992201,-100295,-28640.7,451000
gamma,0.01,1.75437,135.166,-0.0885178,-0.720505,0.687777,-111176,-376468,451000
gamma,0.01,15.6008,178.615,0.213787,-0.00548662,0.976865,13520.7,-2624.96,451000
gamma,0.01,5.10555,147.35,-0.413049,-0.0823746,0.906976,-228395,-33195.9,451000
gamma,0.01,5.65764,136.534,-0.557554,-0.194347,0.807071,-312861,-87007.2,451000
gamma,0.01,9.42553,172.446,0.186978,0.143612,0.97181,4031.37,52410.7,451000
gamma,0.01,27.9305,125.61,0.240407,-0.888745,0.390304,155994,-817585,451000
gamma,0.01,8.67156,140.295,-0.195913,-0.590968,0.782544,-154823,-271561,451000
