Altitude (km),Total Energy Deposition (keV),Ionizing Energy Deposition (keV),Electron Production (counts)
256km-257km,2.2502,2.2502,0
257km-258km,2.18636,2.18636,0
258km-259km,3.39293,3.39293,0
259km-260km,3.09235,3.09235,0
260km-261km,3.20462,3.20462,0
261km-262km,2.37065,2.37065,0
262km-263km,2.29862,2.29862,0
263km-264km,2.35366,2.35366,0
264km-265km,2.73502,2.73502,0
265km-266km,2.44727,2.44727,0
266km-267km,2.99962,2.99962,0
267km-268km,2.65087,2.65087,0
268km-269km,1.99156,1.99156,0
269km-270km,2.13573,2.13573,0
270km-271km,2.29751,2.29751,0
271km-272km,1.48872,1.48872,0
272km-273km,1.74739,1.74739,0
273km-274km,1.38849,1.38849,0
274km-275km,1.34956,1.34956,0
275km-276km,1.32354,1.32354,0
276km-277km,1.68927,1.68927,0
277km-278km,1.25145,1.25145,0
278km-279km,1.21617,1.21617,0
279km-280km,1.178,1.178,0
280km-281km,3.15255,3.15255,0
281km-282km,1.45101,1.45101,0
282km-283km,1.09343,1.09343,0
283km-284km,1.07056,1.07056,0
284km-285km,2.01853,2.01853,0
285km-286km,1.43234,1.43234,0
286km-287km,1.27002,1.27002,0
287km-288km,0.938128,0.938128,0
288km-289km,0.9115,0.9115,0
289km-290km,1.16677,1.16677,0
290km-291km,0.863668,0.863668,0
291km-292km,1.19109,1.19109,0
292km-293km,0.820408,0.820408,0
293km-294km,1.23197,1.23197,0
294km-295km,0.775734,0.775734,0
295km-296km,0.754687,0.754687,0
296km-297km,1.02752,1.02752,0
297km-298km,0.721936,0.721936,0
298km-299km,0.704948,0.704948,0
299km-300km,1.69817,1.69817,0
300km-301km,0.664456,0.664456,0
301km-302km,0.644382,0.644382,0
302km-303km,0.630013,0.630013,0
303km-304km,0.617691,0.617691,0
304km-305km,0.60402,0.60402,0
305km-306km,0.581217,0.581217,0
306km-307km,0.574109,0.574109,0
307km-308km,0.557017,0.557017,0
308km-309km,0.539605,0.539605,0
309km-310km,0.532806,0.532806,0
310km-311km,0.515127,0.515127,0
311km-312km,0.503293,0.503293,0
312km-313km,1.46823,1.46823,0
313km-314km,0.475427,0.475427,0
314km-315km,0.465503,0.465503,0
315km-316km,0.726755,0.726755,0
316km-317km,0.435201,0.435201,0
317km-318km,1.01223,1.01223,0
318km-319km,0.414484,0.414484,0
319km-320km,0.406662,0.406662,0
320km-321km,0.399403,0.399403,0
